quote,author,category,escola
"In some remote corner of the universe, poured out and glittering among innumerable solar systems, there once was a star on which clever animals invented knowledge.",Friedrich Nietzsche,philosophy,Niilismo / Existencialismo (precursor)
"Every existing thing is born without reason, prolongs itself out of weakness, and dies by chance.",Jean-Paul Sartre,philosophy,Existencialismo
"When I see the blind and wretched state of men, when I survey the whole universe in its deadness, and man left to himself with no light, as though lost in this corner of the universe without knowing who put him there, what he has to do, or what will become of him when he dies, incapable of knowing anything, I am moved to terror, like a man transported in his sleep to some terrifying desert island, who wakes up quite lost, with no means of escape. Then I marvel that so wretched a state does not drive people to despair.",Blaise Pascal,"atheism, blaise, pascal, philosophy, religion",Jansenismo / Existencialismo Cristão (precursor)
"What really frightens and dismays us is not external events themselves, but the way in which we think about them. It is not things that disturb us, but our interpretation of their significance.",Epictetus,"ethics, philosophy, stoicism",Estoicismo
Whoever is going to listen to the philosophers needs a considerable practice in listening.,Epictetus,"listening, philosophy",Estoicismo
"If your desire is for good, the people will be good.",Confucius,"confucianism, confucius, philosophy, political, politics",Confucionismo
"When a youth was giving himself airs in the Theatre and saying, 'I am wise, for I have conversed with many wise men,' Epictetus replied, 'I too have conversed with many rich men, yet I am not rich!’.",Epictetus,"epictetus, philosophy, sayings, talk-is-cheap, thought-provoking, wisdom",Estoicismo
"When any person harms you, or speaks badly of you, remember that he acts or speaks from a supposition of its being his duty. Now, it is not possible that he should follow what appears right to you, but what appears so to himself. Therefore, if he judges from a wrong appearance, he is the person hurt, since he too is the person deceived. For if anyone should suppose a true proposition to be false, the proposition is not hurt, but he who is deceived about it. Setting out, then, from these principles, you will meekly bear a person who reviles you, for you will say upon every occasion, ""It seemed so to him.""....",Epictetus,philosophy,Estoicismo
He who conquers himself is the mightiest warrior.,Confucius,"ancient, ancient-china, ancient-chinese, body, chinese, conquers, fighting, inspirational, philosophical, philosophy, proverb, self-improvement, self-realization, training, warrior",Confucionismo
No code of ethics and no effort are justifiable a priori in the face of the cruel mathematics that command our condition.,Albert Camus,"philosophy, suicide",Existencialismo / Absurdismo
"Existence is beyond the power of wordsTo define:Terms may be usedBut are none of them absolute.In the beginning of heaven and earth there were no words,Words came out of the womb of matter;And whether a man dispassionatelySees to the core of lifeOr passionatelySees the surface,The core and the surfaceAre essentially the same,Words making them seem differentOnly to express appearance.If name be needed, wonder names them both:From wonder into wonderExistence opens.",Lao Tzu,philosophy,Taoismo
"If you wish to make Pythocles rich, do not add to his store of money, but subtract from his desires.",Epicurus,"desire, epicureanism, happiness, philosophy, pythocles, wealth",Epicurismo
"It is the man of science, eager to have his every opinion regenerated, his every idea rationalized, by drinking at the fountain of fact, and devoting all the energies of his life to the cult of truth, not as he understands it, but as he does not yet understand it, that ought properly to be called a philosopher.",Charles Sanders Peirce,"philosophy, science",Pragmatismo
Words are the clothes thoughts wear.,Samuel Beckett,"language, philosophy, thinking, words",Teatro do Absurdo
He who says either that the time for philosophy has not yet come or that it has passed is like someone who says that the time for happiness has not yet come or that it has passed.,Epicurus,philosophy,Epicurismo
"A nation is a detour of nature to arrive at five or six great men- yes, and then to get around them.",Friedrich Nietzsche,"nietzsche, philosophy, politics",Niilismo / Existencialismo (precursor)
"You may lie with your mouth, but with the mouth you make as you do so you none the less tell the truth.",Friedrich Nietzsche,philosophy,Niilismo / Existencialismo (precursor)
"Then the lover, who is true and no counterfeit, must of necessity be loved by his love.",Plato,philosophy,Platonismo
There is no fate which cannot be surmounted by scorn.,Albert Camus,philosophy,Existencialismo / Absurdismo
"Pragmatism asks its usual question. ""Grant an idea or belief to be true,"" it says, ""what concrete difference will its being true make in anyone's actual life? How will the truth be realized? What experiences will be different from those which would obtain if the belief were false? What, in short, is the truth's cash-value in experiential terms?",William James,"experiential, philosophy, pragmatism",Pragmatismo
Those who lack the courage will always find a philosophy to justify it.,Albert Camus,"courage, cowardice, philosophy",Existencialismo / Absurdismo
There is but one true philosophical problem and that is suicide.,Albert Camus,"philosophy, suicide",Existencialismo / Absurdismo
"Do not trouble about those who practice philosophy, whether they are good or bad; but examine the thing itself well and carefully. And if philosophy appears a bad thing to you, turn every man from it, not only your sons; but if it appears to you such as I think it to be, take courage, pursue it, and practice it, as the saying is, 'both you and your house.",Socrates,"philosophy, socrates",Filosofia Socrática
"One can ask why the I has to appear in the cogito {Descartes’ argument “I think therefore I am.}, since the cogito, if used rightly, is the awareness of pure consciousness, not directed at any fact or action. In fact the I is not necessary here, since it is never united directly to consciousness. One can even imagine a pure and self-aware consciousness which thinks of itself as impersonal spontaneity.",Jean-Paul Sartre,"ethics, logic, metaphysics, ontology, philosophy, psychology, science",Existencialismo
Ideas are the source of all things,Plato,"intellect, knowledge, life, philosophy, wisdom",Platonismo
"Upon this first, and in one sense this sole, rule of reason, that in order to learn you must desire to learn, and in so desiring not be satisfied with what you already incline to think, there follows one corollary which itself deserves to be inscribed upon every wall of the city of philosophy: Do not block the way of inquiry.",Charles Sanders Peirce,"philosophy, science",Pragmatismo
The goal of education is to enable individuals to continue their education.,John Dewey,"education, philosophy",Pragmatismo
"Wherever there is a human being, there is an opportunity for crisis.",Seneca,philosophy,Estoicismo
"As a man, casting off worn out garments taketh new ones, so the dweller in the body, entereth into ones that are new.",Epictetus,"philosophy, reincarnation, religion",Estoicismo
He alone is free who lives with free consent under the entire guidance of reason,Baruch Spinoza,philosophy,Racionalismo
"The tragedy is that we cannot believe the dogmas of religion and metaphysics if we have the strict methods of truth in heart and head, but on the other hand, we have become through the development of humanity so tenderly suffering that we need the highest kind of means of salvation and consolation: whence arises the danger that man may bleed to death through the truth that he realises.",Friedrich Nietzsche,philosophy,Niilismo / Existencialismo (precursor)
